Country,Internet penetration (2016) 
Afghanistan,6.8
Albania,62.8
Algeria,19.7
Andorra,96.5
Angola,23
Argentina,69.2
Armenia,49.9
Australia,85.1
Austria,81.1
Azerbaijan,61.1
Bahamas,84.8
Bahrain,91.5
Bangladesh,13.2
Barbados,80.3
Belarus,61
Belgium,88.5
Belize,45
Benin,5.6
Bhutan,36.9
Bolivia,41.1
Bosnia and Herzegovina,61.6
Botswana,21.4
Brazil,66.4
Brunei,72.3
Bulgaria,58.5
Burkina Faso,10.2
Burundi,1.5
Cambodia,11.1
Cameroon,18
Canada,88.5
Central African Republic,4.5
Chad,2.7
Chile,77.8
China,52.2
Colombia,56.9
Comoros,7.3
"Congo, Democratic Republic of the",3.9
"Congo, Republic of the",7.5
Costa Rica,56.4
Côte d’Ivoire,22
Croatia,74.2
Cuba,32.4
Cyprus,71.8
Czech Republic,88.4
Denmark,96.3
Djibouti,11.7
Dominica,66.1
Dominican Republic,51.8
Ecuador,43.1
Egypt,33
El Salvador,38.3
Eritrea,1.1
Estonia,91.4
Ethiopia,4.2
Fiji,46.8
Finland,92.5
France,86.4
Gabon,10.3
Gambia,16.9
Georgia,52.9
Germany,88
Ghana,28.4
Greece,64.8
Grenada,38.8
Guatemala,26.5
Guinea,1.8
Guyana,39.6
Haiti,12.1
Honduras,21.5
Hong Kong,74.1
Hungary,80.2
Iceland,100
India,34.8
Indonesia,20.4
Iran,48.9
Iraq,13
Ireland,81
Israel,72.5
Italy,65.6
Jamaica,43.4
Japan,91.1
Jordan,45.7
Kazakhstan,55.8
Kenya,45
Kiribati,12.9
Kuwait,79.9
Kyrgyzstan,34.4
Laos,15.7
Latvia,76.3
Lebanon,75.9
Lesotho,20.6
Liberia,8.6
Libya,21.1
Liechtenstein,95.8
Lithuania,77.2
Luxembourg,95.2
Macao,72.6
Macedonia,69.2
Madagascar,4.3
Malawi,6.5
Malaysia,68.6
Mali,12.2
Malta,79.6
Mauritania,17.1
Mauritius,42.5
Mexico,45.1
Micronesia,31.2
Moldova,47.9
Monaco,93
Mongolia,35.6
Montenegro,62
Morocco,57.6
Mozambique,6.4
Myanmar,2.5
Namibia,15.6
Nepal,17.2
Netherlands,93.7
New Zealand,89.4
Nicaragua,19.4
Niger,2.1
Nigeria,46.1
Norway,98
Oman,71.1
Pakistan,17.8
Palestine,62.7
Panama,45.2
Papua New Guinea,11.7
Paraguay,46.8
Peru,41
Philippines,43.5
Poland,72.4
Portugal,67.3
Qatar,92
Romania,58
Russia,71.3
Rwanda,12.4
Samoa,29
Saudi Arabia,64.7
Senegal,23.4
Serbia,54
Seychelles,57.9
Sierra Leone,2.4
Singapore,82.5
Slovakia,82.5
Slovenia,72
Solomon Islands,9.8
Somalia,1.7
South Africa,52
South Korea,85.7
South Sudan,17.1
Spain,82.2
Sri Lanka,29.3
Sudan,26.4
Suriname,42.3
Swaziland,27.8
Sweden,93.1
Switzerland,87.2
Syria,29.6
Tajikistan,18.7
Tanzania,5.3
Thailand,42.7
Timor-Leste,1.2
Togo,7.3
Tonga,46.6
Tunisia,48.1
Turkey,58
Turkmenistan,14.5
Uganda,19
Ukraine,44.1
United Arab Emirates,91.9
United Kingdom,92.6
United States,88.5
Uruguay,65
Uzbekistan,51
Vanuatu,30.6
Venezuela,57.9
Vietnam,52
Yemen,24.7
Zambia,19
Zimbabwe,21